"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.663519769688638",0.600143833153542,0.588066139468009
"glm",0.5,"0.45","0.663519769688638",0.613807982740022,0.608914450035945
"glm",0.5,"0.5","0.663519769688638",0.623876303487954,0.61430625449317
"glm",0.5,"0.55","0.663519769688638",0.619201725997843,0.608914450035945
"glm",0.5,"0.6","0.663519769688638",0.59618842143114,0.593817397555715
"CART",0.5,"","",0.624955052139518,0.597411933860532
"RandomForest",0.5,"","",0.603739661992089,0.59705248023005
"glm",0.55,"0.4","0.673636315867718",0.597058823529412,0.592888533759489
"glm",0.55,"0.45","0.673636315867718",0.611111111111111,0.61286456252497
"glm",0.55,"0.5","0.673636315867718",0.623529411764706,0.621654015181782
"glm",0.55,"0.55","0.673636315867718",0.606862745098039,0.608070315621254
"glm",0.55,"0.6","0.673636315867718",0.59640522875817,0.596484218937275
"CART",0.55,"","",0.615032679738562,0.606871753895326
"RandomForest",0.55,"","",0.591830065359477,0.599680383539752
"glm",0.6,"0.4","0.679765531321907",0.598142043751873,0.594339622641509
"glm",0.6,"0.45","0.679765531321907",0.604135451003896,0.614106019766397
"glm",0.6,"0.5","0.679765531321907",0.619418639496554,0.633872416891285
"glm",0.6,"0.55","0.679765531321907",0.605933473179503,0.615004492362983
"glm",0.6,"0.6","0.679765531321907",0.590949955049446,0.593441150044924
"CART",0.6,"","",0.605933473179503,0.613656783468104
"RandomForest",0.6,"","",0.594246329038058,0.593890386343217
"glm",0.65,"0.4","0.683311623670948",0.590154867256637,0.600924499229584
"glm",0.65,"0.45","0.683311623670948",0.603705752212389,0.615819209039548
"glm",0.65,"0.5","0.683311623670948",0.622787610619469,0.63944530046225
"glm",0.65,"0.55","0.683311623670948",0.60978982300885,0.609142270159219
"glm",0.65,"0.6","0.683311623670948",0.59375,0.590138674884438
"CART",0.65,"","",0.616426991150443,0.617873651771957
"RandomForest",0.65,"","",0.596515486725664,0.607601438109913
"glm",0.7,"0.4","0.676528450363198",0.593990755007704,0.595566207309766
"glm",0.7,"0.45","0.676528450363198",0.605803800719055,0.609946075494308
"glm",0.7,"0.5","0.676528450363198",0.626861838726245,0.627321749550629
"glm",0.7,"0.55","0.676528450363198",0.610683102208526,0.60814859197124
"glm",0.7,"0.6","0.676528450363198",0.5929635336415,0.597363690832834
"CART",0.7,"","",0.609142270159219,0.608747753145596
"RandomForest",0.7,"","",0.594247560349255,0.61114439784302
"glm",0.75,"0.4","0.676703015365209",0.594678811121764,0.598849748382459
"glm",0.75,"0.45","0.676703015365209",0.606903163950144,0.614665708123652
"glm",0.75,"0.5","0.676703015365209",0.627756471716203,0.626887131560029
"glm",0.75,"0.55","0.676703015365209",0.61457334611697,0.600287562904385
"glm",0.75,"0.6","0.676703015365209",0.593720038350911,0.591660675772825
"CART",0.75,"","",0.608581016299137,0.610352264557872
"RandomForest",0.75,"","",0.591083413231064,0.613227893601725
"glm",0.8,"0.4","0.669178792494412",0.595730337078652,0.598382749326146
"glm",0.8,"0.45","0.669178792494412",0.611011235955056,0.606469002695418
"glm",0.8,"0.5","0.669178792494412",0.625168539325843,0.612758310871518
"glm",0.8,"0.55","0.669178792494412",0.615280898876404,0.593890386343217
"glm",0.8,"0.6","0.669178792494412",0.597528089887641,0.584007187780773
"CART",0.8,"","",0.609887640449438,0.605570530098832
"RandomForest",0.8,"","",0.593932584269663,0.616352201257862
