Model.Technique,SplitRatio,Threshold,AUC,TrainingSet_Accuracy,TestingSet_Accuracy,Prediction Formula
glm,0.7,0.5,0.502186383,0.52978942,0.536848412,Party ~ YOB + Income
CART,0.7,,,0.530046225,0.530257639,Party ~ YOB + Income
RandomForest,0.7,,,0.516435542,0.530257639,Party ~ YOB + Income
glm,0.99,0.5,0.464854111,0.534313725,0.490909091,Party ~ YOB + Income
CART,0.99,,,0.530137981,0.527272727,Party ~ YOB + Income
RandomForest,0.99,,,0.523238925,0.545454545,Party ~ YOB + Income
glm,0.7,0.5,0.527779459,0.535952748,0.533253445,Party ~ YOB + Income + EducationLevel
CART,0.7,,,0.542116076,0.523666866,Party ~ YOB + Income + EducationLevel
RandomForest,0.7,,,0.512583462,0.536848412,Party ~ YOB + Income + EducationLevel
glm,0.99,0.5,0.594827586,0.540668119,0.545454545,Party ~ YOB + Income + EducationLevel
CART,0.99,,,0.530137981,0.527272727,Party ~ YOB + Income + EducationLevel
RandomForest,0.99,,,0.521604938,0.618181818,Party ~ YOB + Income + EducationLevel
glm,0.7,0.5,0.607205552,0.594504366,0.579988017,Party ~ YOB + Income + EducationLevel + Q109244
CART,0.7,,,0.599126862,0.587177951,Party ~ YOB + Income + EducationLevel + Q109244
RandomForest,0.7,,,0.574473549,0.585380467,Party ~ YOB + Income + EducationLevel + Q109244
glm,0.99,0.5,0.596153846,0.593318809,0.545454545,Party ~ YOB + Income + EducationLevel + Q109244
CART,0.99,,,0.595860566,0.563636364,Party ~ YOB + Income + EducationLevel + Q109244
RandomForest,0.99,,,0.573529412,0.545454545,Party ~ YOB + Income + EducationLevel + Q109244
glm,0.7,0.5,0.625701891,0.60914227,0.588376273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
CART,0.7,,,0.610169492,0.5817855,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
RandomForest,0.7,,,0.583718541,0.562612343,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
glm,0.99,0.5,0.672413793,0.606935367,0.581818182,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
CART,0.99,,,0.595860566,0.563636364,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
RandomForest,0.99,,,0.579520697,0.545454545,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
glm,0.7,0.5,0.656013634,0.634822804,0.614739365,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
CART,0.7,,,0.624293785,0.613541043,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
RandomForest,0.7,,,0.618130457,0.598562013,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
glm,0.99,0.5,0.726790451,0.625090777,0.636363636,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
CART,0.99,,,0.620551924,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
RandomForest,0.99,,,0.612745098,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
glm,0.7,0.5,0.656609593,0.628402671,0.61234272,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
CART,0.7,,,0.624293785,0.613541043,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
RandomForest,0.7,,,0.61633282,0.582983823,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
glm,0.99,0.5,0.726790451,0.626361656,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
CART,0.99,,,0.620551924,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
RandomForest,0.99,,,0.607480029,0.636363636,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
glm,0.7,0.5,0.65662905,0.632768362,0.615937687,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
CART,0.7,,,0.624293785,0.613541043,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
RandomForest,0.7,,,0.620698511,0.600359497,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
glm,0.99,0.5,0.708222812,0.629084967,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
CART,0.99,,,0.620551924,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
RandomForest,0.99,,,0.609658678,0.654545455,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
